COMMA ',' 2:1
DOT '.' 3:1
PLUS '+' 4:1
MINUS '-' 5:1
MULTIPLY '*' 6:1
MODULO '%' 7:1
DIVIDE '/' 8:1
LPAREN '(' 9:1
RPAREN ')' 10:1
EQUAL '=' 11:1
ASSIGN ':=' 12:1
NOT_EQUAL '!=' 13:1
LESS_THAN '<' 14:1
GREATER_THAN '>' 15:1
LESS_THAN_EQUAL '<=' 16:1
GREATER_THAN_EQUAL '>=' 17:1
CHAR_VAL ' ' 20:1
CHAR_VAL 'a' 21:1
CHAR_VAL '0' 22:1
STRING_VAL '' 23:1
STRING_VAL 'Hello World!' 24:1
INT_VAL '0' 27:1
INT_VAL '1' 27:3
INT_VAL '2' 27:5
INT_VAL '3' 27:7
INT_VAL '10' 29:1
INT_VAL '100' 29:4
INT_VAL '1000' 29:8
INT_VAL '99' 29:13
INT_VAL '999' 29:16
INT_VAL '90' 29:20
DOUBLE_VAL '0.0' 31:1
DOUBLE_VAL '0.00' 31:5
DOUBLE_VAL '0.1' 34:1
DOUBLE_VAL '0.12' 34:5
DOUBLE_VAL '0.123456789' 34:10
DOUBLE_VAL '314.175' 35:1
INT_TYPE 'int' 38:1
STRING_TYPE 'string' 38:5
BOOL_TYPE 'bool' 38:12
ID 'double' 38:17
CHAR_TYPE 'char' 38:24
NIL 'nil' 38:29
TYPE 'type' 38:33
AND 'and' 39:1
OR 'or' 39:5
NOT 'not' 39:8
NEG 'neg' 40:1
WHILE 'while' 41:1
FOR 'for' 41:7
TO 'to' 41:11
DO 'do' 41:14
IF 'if' 42:1
THEN 'then' 42:4
ELIF 'elif' 42:9
ELSE 'else' 42:14
END 'end' 42:19
FUN 'fun' 43:1
VAR 'var' 44:1
SET 'set' 44:5
RETURN 'return' 45:1
NEW 'new' 46:1
NIL 'nil' 47:1
ID 'x' 51:1
ID 'y' 51:3
ID 'z' 51:5
ID 'abc' 51:7
ID 'abc1234' 51:11
ID 'a_bcd' 51:19
ID 'a_b_cd' 51:25
ID 'a_' 51:32
ID 'b__' 51:35
ID 'camelCase' 51:39
ID 'SnakeCase' 51:49
ID 'a01' 51:59
ID 'a_0_1' 51:63
ID 'a_0_1_' 51:69
EOS '' 53:0
